X,Y,FID,GISDBID,Mode,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,Weekday_On,Weekday_Of,Saturday_O,Saturday_1,Sunday_Ons,Sunday_Off
-8369295.65,4852368.466,1,1732133S,Bus,17,Southbound,32133,Pattison Av & 20th St - FS,39.906528,-75.182662,Fall 2023,0,5,0,2,0,0
-8368920.281,4852302.582,2,1721347S,Bus,17,Southbound,21347,Pattison Av & 20th St - MBFS,39.906074,-75.17929,Fall 2023,0,0,0,1,0,2
-8368224.757,4852188.52,3,17363S,Bus,17,Southbound,363,Pattison Av & Broad St - FS,39.905288,-75.173042,Fall 2023,0,0,2,3,2,7
-8364571.919,4858492.479,4,17593S,Bus,17,Southbound,593,Penn's Landing - 1,39.948715,-75.140228,Fall 2023,55,0,40,0,32,0
-8368225.536,4858587.156,5,1714929S,Bus,17,Southbound,14929,W Rittenhouse Square & Locust St,39.949367,-75.173049,Fall 2023,73,51,55,31,30,28
-8367439.175,4878000.333,6,1825973E,Bus,18,Eastbound,25973,Cedarbrook Plaza - 4,40.082927,-75.165985,Fall 2023,173,0,158,0,110,0
-8367708.346,4878120.221,7,1825974E,Bus,18,Eastbound,25974,Cedarbrook Plaza Stop - 5,40.083751,-75.168403,Fall 2023,16,0,4,0,9,0
-8367918.962,4878000.333,8,1815421E,Bus,18,Eastbound,15421,Cedarbrook Plaza Stop - 6,40.082927,-75.170295,Fall 2023,212,0,167,0,110,1
-8368188.244,4877947.664,9,18368E,Bus,18,Eastbound,368,Cheltenham Av & Gowen Av,40.082565,-75.172714,Fall 2023,22,0,8,1,14,1
-8367329.525,4872556.566,10,18371E,Bus,18,Eastbound,371,Chew Av & Chelten Av,40.045501,-75.165,Fall 2023,185,160,119,67,92,57
-8366929.555,4872235.932,11,1815587E,Bus,18,Eastbound,15587,Chew Av & Church Ln,40.043296,-75.161407,Fall 2023,82,52,74,36,46,26
-8368667.252,4873630.508,12,1815521E,Bus,18,Eastbound,15521,Chew Av & Cliveden St,40.052886,-75.177017,Fall 2023,47,17,16,11,13,8
-8368418.341,4873434.179,13,1815523E,Bus,18,Eastbound,15523,Chew Av & Duval St,40.051536,-75.174781,Fall 2023,37,13,17,7,14,2
-8367651.461,4872817.878,14,1815579E,Bus,18,Eastbound,15579,Chew Av & Haines St,40.047298,-75.167892,Fall 2023,25,12,10,3,8,6
-8367996.218,4873097.957,15,1815526E,Bus,18,Eastbound,15526,Chew Av & Herman St,40.049224,-75.170989,Fall 2023,53,9,22,6,16,8
-8367788.162,4872927.67,16,1815527E,Bus,18,Eastbound,15527,Chew Av & High St,40.048053,-75.16912,Fall 2023,16,4,12,5,9,3
-8369035.831,4873933.443,17,1815519E,Bus,18,Eastbound,15519,Chew Av & Hortter St,40.054969,-75.180328,Fall 2023,53,18,28,9,14,7
-8368543.242,4873532.925,18,1815522E,Bus,18,Eastbound,15522,Chew Av & Johnson St,40.052215,-75.175903,Fall 2023,31,10,17,6,10,0
-8367085.847,4872362.439,19,1815586E,Bus,18,Eastbound,15586,Chew Av & Locust Av,40.044166,-75.162811,Fall 2023,50,20,28,10,22,11
-8366639.122,4872002.989,20,1815779E,Bus,18,Eastbound,15779,Chew Av & Penn Blvd,40.041694,-75.158798,Fall 2023,88,26,58,25,59,14
-8367458.656,4872660.392,21,1815584E,Bus,18,Eastbound,15584,Chew Av & Price St,40.046215,-75.16616,Fall 2023,11,16,4,8,4,1
-8367551.274,4872736.299,22,1815582E,Bus,18,Eastbound,15582,Chew Av & Rittenhouse St,40.046737,-75.166992,Fall 2023,15,6,10,5,4,2
-8368087.166,4873168.487,23,1815525E,Bus,18,Eastbound,15525,Chew Av & Tulpehocken St,40.049709,-75.171806,Fall 2023,56,9,28,8,23,2
-8368788.701,4873732.6,24,1815520E,Bus,18,Eastbound,15520,Chew Av & Upsal St,40.053588,-75.178108,Fall 2023,103,26,36,9,30,14
-8368268.951,4873311.003,25,1815524E,Bus,18,Eastbound,15524,Chew Av & Washington Ln,40.050689,-75.173439,Fall 2023,228,52,102,29,90,25
-8358481.518,4877087.981,26,1820851E,Bus,18,Eastbound,20851,Fox Chase Loop,40.076656,-75.085517,Fall 2023,0,81,0,69,0,48
-8368525.431,4877547.42,27,1815432E,Bus,18,Eastbound,15432,Michener Av & Gowen Av,40.079814,-75.175743,Fall 2023,48,7,18,7,11,7
-8368189.914,4877294.421,28,1815451E,Bus,18,Eastbound,15451,Michener Av & Mt Airy Av,40.078075,-75.172729,Fall 2023,22,1,9,3,8,2
-8367936.773,4877102.966,29,1815453E,Bus,18,Eastbound,15453,Michener Av & Mt Pleasant Av,40.076759,-75.170455,Fall 2023,23,7,9,2,6,2
-8368323.275,4877396.551,30,18369E,Bus,18,Eastbound,369,Michener Av & Wadsworth Av - FS,40.078777,-75.173927,Fall 2023,86,11,43,6,39,6
-8368090.506,4876881.546,31,1815456E,Bus,18,Eastbound,15456,Mt Pleasant Av & Williams Av,40.075237,-75.171836,Fall 2023,38,11,12,11,7,5
-8365740.551,4871708.546,32,1820606E,Bus,18,Eastbound,20606,Ogontz Av & Olney Av - MBNS,40.039669,-75.150726,Fall 2023,1,1,0,0,0,0
-8362930.179,4871135.534,33,1815820E,Bus,18,Eastbound,15820,Olney Av & 2nd St,40.035728,-75.12548,Fall 2023,20,47,16,44,9,27
-8363182.429,4871179.298,34,1815819E,Bus,18,Eastbound,15819,Olney Av & 3rd St,40.036029,-75.127746,Fall 2023,28,51,17,33,11,23
-8363506.925,4871233.094,35,1815817E,Bus,18,Eastbound,15817,Olney Av & 5th St,40.036399,-75.130661,Fall 2023,218,314,141,191,88,138
-8363719.212,4871270.315,36,1815815E,Bus,18,Eastbound,15815,Olney Av & 6th St,40.036655,-75.132568,Fall 2023,14,33,11,17,7,4
-8363900.996,4871298.085,37,1815814E,Bus,18,Eastbound,15814,Olney Av & 7th St,40.036846,-75.134201,Fall 2023,17,32,4,21,3,15
-8364325.569,4871395.646,38,1815799E,Bus,18,Eastbound,15799,Olney Av & 10th St,40.037517,-75.138015,Fall 2023,23,29,17,20,12,11
-8364498.003,4871446.681,39,1815798E,Bus,18,Eastbound,15798,Olney Av & 11th St,40.037868,-75.139564,Fall 2023,69,34,49,16,27,17
-8364819.048,4871540.899,40,1815795E,Bus,18,Eastbound,15795,Olney Av & 13th St - FS,40.038516,-75.142448,Fall 2023,105,35,81,24,73,11
-8365290.375,4871610.255,41,1815794E,Bus,18,Eastbound,15794,Olney Av & 15th St,40.038993,-75.146682,Fall 2023,16,23,1,1,2,4
-8365506.112,4871603.712,42,1815793E,Bus,18,Eastbound,15793,Olney Av & 16th St,40.038948,-75.14862,Fall 2023,24,7,3,2,1,4
-8365927.345,4871639.19,43,1815791E,Bus,18,Eastbound,15791,Olney Av & 18th St - MBNS,40.039192,-75.152404,Fall 2023,27,7,12,4,2,5
