"year","county_id","county_name","income_group","mean_hh_income","absolute_change","change_rate","change_rate_gap_from_5th_quintile"
2012,"42017",Bucks,"5th Quintile",299813,-16153,-0.051,0.000
2012,"42017",Bucks,"4th Quintile",150598,-8392,-0.053,0.002
2012,"42017",Bucks,"3rd Quintile",100760,-7265,-0.067,0.016
2012,"42017",Bucks,"2nd Quintile",62614,-4755,-0.071,0.020
2012,"42017",Bucks,"1st Quintile",25176,-1584,-0.059,0.008
2011,"42017",Bucks,Top 5 Percent,502339,-25807,-0.049,-0.008
2011,"42017",Bucks,All,96146,-10832,-0.101,0.044
2011,"42017",Bucks,"5th Quintile",298055,-17911,-0.057,0.000
2011,"42017",Bucks,"4th Quintile",146193,-12797,-0.080,0.023
2011,"42017",Bucks,"3rd Quintile",96214,-11811,-0.109,0.052
2011,"42017",Bucks,"2nd Quintile",60974,-6395,-0.095,0.038
2011,"42017",Bucks,"1st Quintile",25286,-1474,-0.055,-0.002
2010,"42017",Bucks,Top 5 Percent,528907,761,0.001,-0.029
2010,"42017",Bucks,All,99749,-7229,-0.068,0.040
2010,"42017",Bucks,"5th Quintile",307092,-8874,-0.028,0.000
2010,"42017",Bucks,"4th Quintile",150062,-8928,-0.056,0.028
2010,"42017",Bucks,"3rd Quintile",99511,-8514,-0.079,0.051
2010,"42017",Bucks,"2nd Quintile",61982,-5387,-0.080,0.052
2010,"42017",Bucks,"1st Quintile",26215,-545,-0.020,-0.008
2009,"42017",Bucks,Top 5 Percent,570413,42267,0.080,-0.048
2009,"42017",Bucks,All,108747,1769,0.017,0.015
2009,"42017",Bucks,"5th Quintile",326047,10081,0.032,0.000
2009,"42017",Bucks,"4th Quintile",157618,-1372,-0.009,0.041
2009,"42017",Bucks,"3rd Quintile",108826,801,0.007,0.025
2009,"42017",Bucks,"2nd Quintile",68323,954,0.014,0.018
2009,"42017",Bucks,"1st Quintile",29269,2509,0.094,-0.062
2008,"42017",Bucks,Top 5 Percent,512596,-15550,-0.029,0.020
2008,"42017",Bucks,All,108068,1090,0.010,-0.019
2008,"42017",Bucks,"5th Quintile",313180,-2786,-0.009,0.000
